cod,user_from_name,user_to_name,text,weights
fladomundopablogaldencio,fladomundo,pablogaldencio,NonNecessary,1
flamengoJuan_RMD7,flamengo,Juan_RMD7,NonNecessary,1
flamenguistattallanmadi,flamenguistatt,allanmadi,RT @AllanMadi: Rodriguinho (ex-Corinthians) é um dos nomes que o #Flamengo cogita para vaga de Paquetá. Já houve consulta de valores.,1
flaviom32255797allanmadi,flaviom32255797,allanmadi,"RT @AllanMadi: O #Flamengo solicitou a CBF que a partida contra o Atlético-PR seja antecipada para sábado, pela última rodada do Brasileirã…",1
fransantunionegergarciagrova,fransantunione,gergarciagrova,RT @GerGarciaGrova: #Flamengo - #Independiente. Final Sudamericana 2017. Último antecedente con agresiones fuera del anillo de seguridad. F…,1
gandulapoliticoallanmadi,gandulapolitico,allanmadi,RT @AllanMadi: Rodriguinho (ex-Corinthians) é um dos nomes que o #Flamengo cogita para vaga de Paquetá. Já houve consulta de valores.,1
garruchazhaalmeida1243,garruchazh,aalmeida1243,NonNecessary,1
gergarciagrovaAdrielysBoada,gergarciagrova,AdrielysBoada,NonNecessary,1
gergarciagrovaCesar_Gimbernat,gergarciagrova,Cesar_Gimbernat,NonNecessary,1
gergarciagrovaJmff13,gergarciagrova,Jmff13,NonNecessary,1
gergarciagrovaShulymillonari2,gergarciagrova,Shulymillonari2,NonNecessary,1
gergarciagrovaTotalerosDTV,gergarciagrova,TotalerosDTV,NonNecessary,1
gergarciagrovaaugusto_baher,gergarciagrova,augusto_baher,NonNecessary,1
gergarciagrovacrisnosfevidal,gergarciagrova,crisnosfevidal,NonNecessary,1
gergarciagrovaezzealexiss,gergarciagrova,ezzealexiss,NonNecessary,1
gergarciagrovafransantunione,gergarciagrova,fransantunione,NonNecessary,1
gergarciagrovamvrtVal,gergarciagrova,mvrtVal,NonNecessary,1
gergarciagrovarocioguzman_z,gergarciagrova,rocioguzman_z,NonNecessary,1
ghrman1978oldfootball11,ghrman1978,oldfootball11,RT @OldFootball11: #Sócrates and #Zico #Corinthians #Flamengo (1979). https://t.co/ElLseUVABs,1
hellayniathirson,hellayni,athirson,"RT @athirson: Um excelente dia a todos, nesta segunda-feira, inclusive pois hoje é aniversário deste exemplo de ser humano, humilde e batal…",1
hugospillerathirson,hugospiller,athirson,"RT @athirson: Um excelente dia a todos, nesta segunda-feira, inclusive pois hoje é aniversário deste exemplo de ser humano, humilde e batal…",1
jmff13gergarciagrova,jmff13,gergarciagrova,RT @GerGarciaGrova: #Flamengo - #Independiente. Final Sudamericana 2017. Último antecedente con agresiones fuera del anillo de seguridad. F…,1
joncal1895chapaunifla,joncal1895,chapaunifla,"RT @ChapaUniFla: Rodolfo Landim, no Aqui com Benja!, da Fox Sports, diz por que está preparado para assumir a presidência do #Flamengo e ex…",1
joncal1895programarn,joncal1895,programarn,"RT @ProgramaRN: HOJE, 26/11/2018 às 22h, tem@ProgramaRN RADAR DA NAÇÃO.NEM ROXO E NEM ROSA, A CHAPA É QUENTE!Tudo sobre o mais querido…",2
jp_menezessathirson,jp_menezess,athirson,"RT @athirson: Um excelente dia a todos, nesta segunda-feira, inclusive pois hoje é aniversário deste exemplo de ser humano, humilde e batal…",1
jrwanderlaanfladomundo,jrwanderlaan,fladomundo,RT @FlaDoMundo: Qual desses candidatos à presidência do #Flamengo deve ser eleito para o triênio 2019/2021? #Enquete14 #Eleicoes2018 #Eleiç…,1
juan_rmd7benjaminback,juan_rmd7,benjaminback,RT @benjaminback: Simplesmente INCRÍVEL o Aqui Com Benja que irá ao ar nesse final de semana: @lucaspaqueta do @flamengo numa entrevista si…,1
juan_rmd7flamengo,juan_rmd7,flamengo,RT @benjaminback: Simplesmente INCRÍVEL o Aqui Com Benja que irá ao ar nesse final de semana: @lucaspaqueta do @flamengo numa entrevista si…,1
juan_rmd7lucaspaqueta,juan_rmd7,lucaspaqueta,RT @benjaminback: Simplesmente INCRÍVEL o Aqui Com Benja que irá ao ar nesse final de semana: @lucaspaqueta do @flamengo numa entrevista si…,1
leandro_sales07allanmadi,leandro_sales07,allanmadi,RT @AllanMadi: Rodriguinho (ex-Corinthians) é um dos nomes que o #Flamengo cogita para vaga de Paquetá. Já houve consulta de valores.,1
levirensktallanmadi,levirenskt,allanmadi,RT @AllanMadi: Rodriguinho (ex-Corinthians) é um dos nomes que o #Flamengo cogita para vaga de Paquetá. Já houve consulta de valores.,1
lucaspaquetaJuan_RMD7,lucaspaqueta,Juan_RMD7,NonNecessary,1
marcoopedrochapaunifla,marcoopedro,chapaunifla,"RT @ChapaUniFla: No último dia 15/11, dia em que o #Flamengo completou 123 anos, Landim esteve com Raul Bagattini e, juntos, assumiram o co…",2
